Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
NYCT,Clark St,2;3,Ray Ring,Clark Street Passage,1987,Terrazzo floor tile,https://new.mta.info/agency/arts-design/collection/clark-street-passage
NYCT,125 St,4;5;6,Houston Conwill,The Open Secret,1986,Bronze - polychromed,https://new.mta.info/agency/arts-design/collection/open-secret
NYCT,Astor Pl,6,Milton Glaser,Untitled,1986,Porcelain enamel murals,https://new.mta.info/agency/arts-design/collection/untitled-glaser-astor
NYCT,Kings Hwy,B;Q,Rhoda Andors,Kings Highway Hieroglyphs,1987,Porcelain Enamel Murals on Steel,https://new.mta.info/agency/arts-design/collection/Kings-Highway-Hieroglyphs
NYCT,Newkirk Av,B;Q,David Wilson,Transit Skylight,1988,Zinc-glazed Apolycarbonate skylight,https://new.mta.info/agency/arts-design/collection/transit-skylight
NYCT,137 St-City College,1,Steve Wood,Fossils,1988,Bronze,https://new.mta.info/agency/arts-design/collection/fossils
NYCT,23 St,6,Valerie Jaudon,Long Division,1988,Wrought iron railings,https://new.mta.info/agency/arts-design/collection/long-division
NYCT,50 St,C;E,Matt Mullican,Untitled,1989,Stone - Etched granite,https://new.mta.info/agency/arts-design/collection/untitled-50-st
NYCT,86 St,1,Nitza Tufi–o (in collaboration with Grosvenor Neighborhood House Student Muralists),Westside Views,1989,Ceramic Tile,https://new.mta.info/agency/arts-design/collection/westside-views
Metro-North,Tuckahoe,Harlem,Arthur Gonzalez,The Finder/The Seekers,1990,Bronze and Steel sheet;  Found objects (tin toys; etc.),https://new.mta.info/agency/arts-design/collection/the-finder-the-seekers-time-catcher
Metro-North,Fleetwood,Harlem,Arthur Gonzalez,Time Catcher,1990,Bronze - patinated and Steel sheet; Found object (tin toys; etc.),https://new.mta.info/agency/arts-design/collection/the-finder-the-seekers-time-catcher
NYCT,Grand Central-42 St,S;4;5;6;7,Dan Sinclair,Fast Track and Speedwheels,1990,Stainless steel; copper and brass,https://new.mta.info/agency/arts-design/collection/fast-track-speedwheels
NYCT,Wall St,2;3,Harry Roseman,Subway Wall,1990,Bronze - patinated,https://new.mta.info/agency/arts-design/collection/subway-wall
NYCT,104 St,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,111 St,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,Woodhaven Blvd,J;Z,Kathleen McCarthy,Five Points of Observation,1990,Copper wire mesh and Stainless steel,https://new.mta.info/agency/arts-design/collection/five-points-of-observation
NYCT,103 St,6,Nitza Tufi–o,Neo-Boriken,1990,Ceramic tile; red clay; glazes;  WonderBoard panel backing,https://new.mta.info/agency/arts-design/permanent-art/neo-boriken
Metro-North,Harlem-125 St,City Terminal Zone,Alison Saar,Hear the Lone Whistle Moan,1991,Bronze - patinated,https://new.mta.info/agency/arts-design/collection/copacetic-hear-the-lone-whistle
Metro-North,Mount Vernon West,Harlem,Martha Jackson-Jarvis,Travelin' Time,1991,Glass and Ceramic Mosaic,https://new.mta.info/agency/arts-design/collection/travelin-time
NYCT,34 St-Herald Sq,B;D;F;M;Q;N;R;W,Michele Oka Doner,Radiant Site,1991,Ceramic tiles,https://new.mta.info/agency/arts-design/collection/radiant-site
NYCT,116 St-Columbia University,1,Michelle Greene,Railrider's Throne,1991,Steel,https://new.mta.info/agency/arts-design/collection/railriders-throne
NYCT,34 St-Herald Sq,B;D;F;M;N;Q;R,Nicholas Pearson,Halo,1991,Coiled aluminum - chemically etched; Lighting Elements,https://new.mta.info/agency/arts-design/collection/halo
NYCT,42 St-Port Authority Bus Terminal,A;C;E;N;R;Q;S;1;2;3;7,Norman B Colp,The Commuter's Lament/A Close Shave,1991,Porcelain enamel on ceiling beams in passageway connecting 7th and 8th Ave. lines,https://new.mta.info/agency/arts-design/collection/commuters-lament
Metro-North,North White Plains,Harlem,Rolando Brise–o,At the Table,1991,Cast aluminum; painted,https://new.mta.info/agency/arts-design/collection/at-the-table
NYCT,Jamaica Ctr-Parsons/Archer,E;J;Z,Sam Gilliam,Jamaica Center Station Riders; Blue,1991,Aluminum - painted,https://new.mta.info/agency/arts-design/collection/jamaica-center-station-riders-blue
Metro-North,Scarsdale,Harlem,Tom Nussbaum,Travelers,1991,Cor-ten steel,https://new.mta.info/agency/arts-design/collection/workers-hartsdale
Metro-North,Hartsdale,Harlem,Tom Nussbaum,Workers,1991,Cor-ten steel,https://new.mta.info/agency/arts-design/collection/workers-hartsdale
NYCT,207 St,1,Wopo Holup,Elevated Nature I-IV,1991,Cast concrete,
NYCT,125 St,1,Wopo Holup,River to River,1991,Cast concrete,
LIRR,Bay Shore,Montauk,Brit Bunkley,Bay Shore Icons,1992,Cast concrete - Jesmonite castings,https://new.mta.info/agency/arts-design/collection/bay-shore-icons
NYCT,34 St-Herald Sq,B;D;F;M;N;R;Q,David Provan,Yab-Yum,1992,Aluminum; Steel,https://new.mta.info/agency/arts-design/collection/yab-yum
LIRR,Great Neck (relocated from LIRR Westbury in 2001),Port Washington,David Saunders,Conductor's Watch and Key Chain,1992,Aluminum,https://new.mta.info/agency/arts-design/collection/conductors-watch-and-key-chain
NYCT,Court Sq-23 St,E; M; G; 7,Frank Olt,Temple Quad Reliefs,1992,Ceramic tile;  Glass mosaic,https://new.mta.info/agency/arts-design/collection/temple-quad-reliefs
